treat,treat_no,sub,no,death_date,time,exclude,censor,censor2,censor3,source_pop,eclosion_date,Experiment_date,age,exp_age,tot_eggs,tot_offspring,viability,avg_eggs,avg_offspring,random,m.off.tot,m.age,m.off.avg,m.egg.tot,m.egg.avg,eggs_7d,off_7d,thorax,wing
20% SYA,1,L,1,28/07/2018,am,n,1,0,1,3,21/05/2018,26/05/2018,68,63,373,285,0.764075067,5.49,4.19,tc,67,7,9.57,97,13.86,87,77,0.905,NA
100% SYA,2,L,2,01/06/2018,am,n,1,1,0,4,22/05/2018,26/05/2018,10,6,21,16,0.761904762,2.1,1.6,ta,0,0,NA,0,NA,21,16,1.02,1.515
100% SYA,2,L,3,24/07/2018,pm,n,1,0,1,1,22/05/2018,26/05/2018,63,59,545,450,0.825688073,8.65,7.14,tc,145,7,20.71,174,24.86,77,59,0.955,1.515
20% SYA,1,L,4,09/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,79,75,510,407,0.798039216,6.46,5.15,ta,87,9,9.67,125,13.89,87,90,1.005,NA
20% SYA,1,L,5,17/07/2018,am,n,1,0,1,2,21/05/2018,26/05/2018,57,52,386,347,0.898963731,6.77,6.09,tc,88,6,14.67,103,17.17,84,81,0.99,NA
20% SYA,1,L,6,14/07/2018,am,n,1,1,0,4,21/05/2018,26/05/2018,54,49,386,274,0.70984456,7.15,5.07,tc,74,5,14.8,90,18,102,92,1.035,1.46
20% SYA,1,L,7,13/07/2018,am,n,1,1,0,2,21/05/2018,26/05/2018,53,48,394,337,0.855329949,7.43,6.36,ta,82,5,16.4,89,17.8,110,98,0.96,1.495
120% SYA,3,L,8,01/08/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,71,67,422,355,0.841232227,5.94,5,tc,122,8,15.25,127,15.88,89,61,1.01,NA
120% SYA,3,L,9,28/06/2018,am,n,1,1,0,2,22/05/2018,26/05/2018,37,33,291,230,0.790378007,7.86,6.22,tb,64,3,21.33,77,25.67,91,72,NA,NA
20% SYA,1,L,10,30/07/2018,am,n,1,0,1,3,21/05/2018,26/05/2018,70,65,404,339,0.839108911,5.77,4.84,tc,109,7,15.57,150,21.43,62,57,0.91,1.385
20% SYA,1,L,11,31/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,70,66,511,433,0.847358121,7.3,6.19,ta,158,7,22.57,200,28.57,42,35,0.865,1.355
120% SYA,3,L,12,19/07/2018,pm,n,1,0,1,4,22/05/2018,26/05/2018,58,54,358,250,0.698324022,6.17,4.31,tc,71,6,11.83,120,20,82,61,1.025,1.485
100% SYA,2,L,13,01/07/2018,am,n,1,1,0,2,22/05/2018,26/05/2018,40,36,158,111,0.702531646,3.95,2.78,tb,31,4,7.75,39,9.75,37,33,1.045,1.53
120% SYA,3,L,14,07/06/2018,pm,n,1,1,0,1,22/05/2018,26/05/2018,16,12,128,112,0.875,8,7,tb,56,2,28,41,20.5,85,74,1.05,NA
100% SYA,2,L,15,31/07/2018,pm,n,1,0,1,1,22/05/2018,26/05/2018,70,66,584,490,0.839041096,8.34,7,tb,127,8,15.88,145,18.13,95,71,1.02,1.525
120% SYA,3,L,16,13/08/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,83,79,474,390,0.82278481,5.71,4.7,tc,123,9,13.67,144,16,82,68,1.025,NA
100% SYA,2,L,17,28/05/2018,pm,y,0,0,0,1,22/05/2018,26/05/2018,6,2,7,8,1.142857143,1.17,1.33,tb,0,0,NA,0,NA,7,8,NA,NA
20% SYA,1,L,18,22/07/2018,am,n,1,0,1,2,21/05/2018,26/05/2018,62,57,440,358,0.813636364,7.1,5.77,tc,100,6,16.67,142,23.67,57,46,0.955,NA
100% SYA,2,L,19,10/06/2018,pm,n,0,0,0,1,22/05/2018,26/05/2018,19,15,163,133,0.81595092,8.58,7,ta,46,1,46,50,50,62,55,NA,NA
100% SYA,2,L,20,28/05/2018,pm,y,0,0,0,4,22/05/2018,26/05/2018,6,2,0,0,#DIV/0!,0,0,ta,0,0,NA,0,NA,0,0,NA,NA
100% SYA,2,L,21,27/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,66,62,628,540,0.859872611,9.52,8.18,ta,164,7,23.43,182,26,102,89,1.035,NA
120% SYA,3,L,22,15/06/2018,pm,n,0,0,0,1,22/05/2018,26/05/2018,24,20,295,210,0.711864407,12.29,8.75,tc,54,2,27,75,37.5,110,88,NA,NA
100% SYA,2,L,23,06/08/2018,pm,n,1,0,1,3,22/05/2018,26/05/2018,76,72,503,442,0.878727634,6.62,5.82,tc,139,8,17.38,155,19.38,87,78,1.065,NA
120% SYA,3,L,24,14/08/2018,am,n,1,0,1,3,22/05/2018,26/05/2018,84,80,403,420,1.042183623,4.8,5,ta,162,8,20.25,142,17.75,37,25,1.045,NA
100% SYA,2,L,25,02/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,72,68,676,553,0.818047337,9.39,7.68,tb,169,8,21.13,222,27.75,97,83,1.04,NA
100% SYA,2,L,26,24/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,63,59,608,516,0.848684211,9.65,8.19,ta,134,7,19.14,176,25.14,70,68,1.03,NA
20% SYA,1,L,27,14/07/2018,am,n,1,1,0,1,21/05/2018,26/05/2018,54,49,431,322,0.747099768,7.98,5.96,ta,90,5,18,115,23,101,95,1.025,NA
100% SYA,2,L,28,22/07/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,61,57,283,240,0.848056537,4.64,3.93,tc,90,6,15,107,17.83,75,64,1.02,1.58
120% SYA,3,L,29,08/08/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,78,74,659,551,0.836115326,8.45,7.06,ta,165,8,20.63,187,23.38,89,64,1.015,1.505
120% SYA,3,L,30,17/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,56,52,302,55,0.182119205,5.39,0.98,ta,22,7,3.14,83,11.86,92,9,1.04,1.48
20% SYA,1,L,31,16/07/2018,pm,n,1,0,1,1,21/05/2018,26/05/2018,56,51,28,25,0.892857143,0.5,0.45,tc,3,6,0.5,4,0.67,24,22,NA,NA
120% SYA,3,L,32,29/05/2018,pm,n,0,0,0,2,22/05/2018,26/05/2018,7,3,47,39,0.829787234,6.71,5.57,tc,0,0,NA,0,NA,47,39,NA,NA
120% SYA,3,L,33,03/08/2018,pm,n,1,0,1,3,22/05/2018,26/05/2018,73,69,645,506,0.784496124,8.84,6.93,tc,173,8,21.63,237,29.63,86,76,1.035,NA
20% SYA,1,L,34,16/07/2018,am,n,1,0,1,3,21/05/2018,26/05/2018,56,51,483,405,0.838509317,8.63,7.23,ta,118,6,19.67,147,24.5,90,77,0.95,1.465
20% SYA,1,L,35,15/08/2018,pm,n,1,0,1,2,22/05/2018,26/05/2018,85,81,557,429,0.770197487,6.55,5.05,tc,141,9,15.67,162,18,86,83,0.97,1.435
100% SYA,2,L,36,30/06/2018,am,n,0,0,0,1,22/05/2018,26/05/2018,39,35,78,60,0.769230769,2,1.54,tc,16,4,4,26,6.5,13,12,1,NA
120% SYA,3,L,37,09/08/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,79,75,380,309,0.813157895,4.81,3.91,tb,141,8,17.63,161,20.13,22,2,1.03,1.505
120% SYA,3,L,38,28/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,67,63,536,360,0.671641791,8,5.37,tb,115,7,16.43,155,22.14,75,26,1.005,NA
120% SYA,3,L,39,24/07/2018,am,n,1,0,1,2,22/05/2018,26/05/2018,63,59,576,478,0.829861111,9.14,7.59,tc,163,7,23.29,195,27.86,82,67,1.03,1.535
