treat,id_no,id,size,day,week,period_quarter,egg_tot,off_tot,viability,stop
20% SYA,1,L1,0.905,1,1,1,3,4,1.333333333,n
20% SYA,1,L1,0.905,2,1,NA,11,11,1,n
20% SYA,1,L1,0.905,3,1,2,8,9,1.125,n
20% SYA,1,L1,0.905,4,1,NA,14,9,0.642857143,n
20% SYA,1,L1,0.905,5,1,3,20,17,0.85,n
20% SYA,1,L1,0.905,6,1,NA,11,5,0.454545455,n
20% SYA,1,L1,0.905,7,1,4,20,22,1.1,n
20% SYA,1,L1,0.905,9,2,1,49,31,0.632653061,n
20% SYA,1,L1,0.905,11,2,2,36,27,0.75,n
20% SYA,1,L1,0.905,13,2,3,24,19,0.791666667,n
20% SYA,1,L1,0.905,15,2,4,31,19,0.612903226,n
20% SYA,1,L1,0.905,17,3,1,17,15,0.882352941,n
20% SYA,1,L1,0.905,19,3,2,13,14,1.076923077,n
20% SYA,1,L1,0.905,21,3,3,14,11,0.785714286,n
20% SYA,1,L1,0.905,23,3,4,17,15,0.882352941,n
20% SYA,1,L1,0.905,25,4,1,12,19,1.583333333,n
20% SYA,1,L1,0.905,27,4,2,14,13,0.928571429,n
20% SYA,1,L1,0.905,29,4,3,15,13,0.866666667,n
20% SYA,1,L1,0.905,31,4,4,16,10,0.625,n
20% SYA,1,L1,0.905,33,5,1,6,2,0.333333333,n
20% SYA,1,L1,0.905,35,5,2,0,0,0,n
20% SYA,1,L1,0.905,37,5,3,1,0,0,n
20% SYA,1,L1,0.905,39,5,4,0,0,0,n
20% SYA,1,L1,0.905,41,6,1,12,0,0,n
20% SYA,1,L1,0.905,43,6,2,3,0,0,n
20% SYA,1,L1,0.905,45,6,3,0,0,0,n
20% SYA,1,L1,0.905,47,6,4,3,0,0,n
20% SYA,1,L1,0.905,49,7,1,0,0,0,n
20% SYA,1,L1,0.905,51,7,2,0,0,0,n
20% SYA,1,L1,0.905,53,7,3,1,0,0,n
20% SYA,1,L1,0.905,55,7,4,1,0,0,n
20% SYA,1,L1,0.905,57,8,1,1,0,0,n
20% SYA,1,L1,0.905,59,8,2,0,0,0,n
20% SYA,1,L1,0.905,61,8,3,0,0,0,n
20% SYA,1,L1,0.905,63,8,4,NA,NA,NA,n
20% SYA,1,L1,0.905,65,9,1,NA,NA,NA,n
20% SYA,1,L1,0.905,67,9,2,NA,NA,NA,n
20% SYA,1,L1,0.905,69,9,3,NA,NA,NA,n
20% SYA,1,L1,0.905,71,9,4,NA,NA,NA,n
20% SYA,1,L1,0.905,73,10,1,NA,NA,NA,y
20% SYA,1,L1,0.905,75,10,2,NA,NA,NA,y
20% SYA,1,L1,0.905,77,10,3,NA,NA,NA,y
20% SYA,1,L1,0.905,79,10,4,NA,NA,NA,y
20% SYA,1,L1,0.905,81,11,1,NA,NA,NA,y
20% SYA,1,L1,0.905,83,11,2,NA,NA,NA,y
100% SYA,2,L2,1.02,1,1,1,10,15,1.5,n
100% SYA,2,L2,1.02,2,1,NA,0,0,0,n
100% SYA,2,L2,1.02,3,1,2,0,0,0,n
100% SYA,2,L2,1.02,4,1,NA,1,1,1,n
100% SYA,2,L2,1.02,5,1,3,10,0,0,n
100% SYA,2,L2,1.02,6,1,NA,NA,NA,NA,n
100% SYA,2,L2,1.02,7,1,4,NA,NA,NA,n
100% SYA,2,L2,1.02,9,2,1,NA,NA,NA,n
100% SYA,2,L2,1.02,11,2,2,NA,NA,NA,n
100% SYA,2,L2,1.02,13,2,3,NA,NA,NA,n
100% SYA,2,L2,1.02,15,2,4,NA,NA,NA,n
100% SYA,2,L2,1.02,17,3,1,NA,NA,NA,n
100% SYA,2,L2,1.02,19,3,2,NA,NA,NA,n
100% SYA,2,L2,1.02,21,3,3,NA,NA,NA,n
100% SYA,2,L2,1.02,23,3,4,NA,NA,NA,n
100% SYA,2,L2,1.02,25,4,1,NA,NA,NA,n
100% SYA,2,L2,1.02,27,4,2,NA,NA,NA,n
100% SYA,2,L2,1.02,29,4,3,NA,NA,NA,n
100% SYA,2,L2,1.02,31,4,4,NA,NA,NA,n
100% SYA,2,L2,1.02,33,5,1,NA,NA,NA,n
100% SYA,2,L2,1.02,35,5,2,NA,NA,NA,n
100% SYA,2,L2,1.02,37,5,3,NA,NA,NA,n
100% SYA,2,L2,1.02,39,5,4,NA,NA,NA,n
100% SYA,2,L2,1.02,41,6,1,NA,NA,NA,n
100% SYA,2,L2,1.02,43,6,2,NA,NA,NA,n
100% SYA,2,L2,1.02,45,6,3,NA,NA,NA,n
100% SYA,2,L2,1.02,47,6,4,NA,NA,NA,n
100% SYA,2,L2,1.02,49,7,1,NA,NA,NA,n
100% SYA,2,L2,1.02,51,7,2,NA,NA,NA,n
100% SYA,2,L2,1.02,53,7,3,NA,NA,NA,n
100% SYA,2,L2,1.02,55,7,4,NA,NA,NA,n
100% SYA,2,L2,1.02,57,8,1,NA,NA,NA,n
100% SYA,2,L2,1.02,59,8,2,NA,NA,NA,n
100% SYA,2,L2,1.02,61,8,3,NA,NA,NA,n
100% SYA,2,L2,1.02,63,8,4,NA,NA,NA,n
100% SYA,2,L2,1.02,65,9,1,NA,NA,NA,n
100% SYA,2,L2,1.02,67,9,2,NA,NA,NA,n
100% SYA,2,L2,1.02,69,9,3,NA,NA,NA,n
100% SYA,2,L2,1.02,71,9,4,NA,NA,NA,n
100% SYA,2,L2,1.02,73,10,1,NA,NA,NA,y
100% SYA,2,L2,1.02,75,10,2,NA,NA,NA,y
100% SYA,2,L2,1.02,77,10,3,NA,NA,NA,y
100% SYA,2,L2,1.02,79,10,4,NA,NA,NA,y
100% SYA,2,L2,1.02,81,11,1,NA,NA,NA,y
100% SYA,2,L2,1.02,83,11,2,NA,NA,NA,y
100% SYA,3,L3,0.955,1,1,1,7,8,1.142857143,n
100% SYA,3,L3,0.955,2,1,NA,14,14,1,n
100% SYA,3,L3,0.955,3,1,2,10,6,0.6,n
100% SYA,3,L3,0.955,4,1,NA,17,13,0.764705882,n
100% SYA,3,L3,0.955,5,1,3,17,11,0.647058824,n
100% SYA,3,L3,0.955,6,1,NA,12,7,0.583333333,n
100% SYA,3,L3,0.955,7,1,4,0,0,0,n
100% SYA,3,L3,0.955,9,2,1,42,31,0.738095238,n
100% SYA,3,L3,0.955,11,2,2,24,21,0.875,n
100% SYA,3,L3,0.955,13,2,3,23,19,0.826086957,n
100% SYA,3,L3,0.955,15,2,4,23,22,0.956521739,n
100% SYA,3,L3,0.955,17,3,1,20,22,1.1,n
100% SYA,3,L3,0.955,19,3,2,13,16,1.230769231,n
100% SYA,3,L3,0.955,21,3,3,15,10,0.666666667,n
100% SYA,3,L3,0.955,23,3,4,15,15,1,n
100% SYA,3,L3,0.955,25,4,1,16,14,0.875,n
100% SYA,3,L3,0.955,27,4,2,22,17,0.772727273,n
100% SYA,3,L3,0.955,29,4,3,12,11,0.916666667,n
100% SYA,3,L3,0.955,31,4,4,20,7,0.35,n
100% SYA,3,L3,0.955,33,5,1,26,16,0.615384615,n
100% SYA,3,L3,0.955,35,5,2,18,16,0.888888889,n
100% SYA,3,L3,0.955,37,5,3,20,17,0.85,n
100% SYA,3,L3,0.955,39,5,4,13,10,0.769230769,n
100% SYA,3,L3,0.955,41,6,1,34,29,0.852941176,n
100% SYA,3,L3,0.955,43,6,2,18,14,0.777777778,n
100% SYA,3,L3,0.955,45,6,3,15,15,1,n
100% SYA,3,L3,0.955,47,6,4,14,12,0.857142857,n
100% SYA,3,L3,0.955,49,7,1,23,22,0.956521739,n
100% SYA,3,L3,0.955,51,7,2,10,9,0.9,n
100% SYA,3,L3,0.955,53,7,3,9,8,0.888888889,n
100% SYA,3,L3,0.955,55,7,4,10,7,0.7,n
100% SYA,3,L3,0.955,57,8,1,13,11,0.846153846,n
100% SYA,3,L3,0.955,59,8,2,NA,NA,NA,n
100% SYA,3,L3,0.955,61,8,3,NA,NA,NA,n
100% SYA,3,L3,0.955,63,8,4,NA,NA,NA,n
100% SYA,3,L3,0.955,65,9,1,NA,NA,NA,n
100% SYA,3,L3,0.955,67,9,2,NA,NA,NA,n
100% SYA,3,L3,0.955,69,9,3,NA,NA,NA,n
100% SYA,3,L3,0.955,71,9,4,NA,NA,NA,n
100% SYA,3,L3,0.955,73,10,1,NA,NA,NA,y
100% SYA,3,L3,0.955,75,10,2,NA,NA,NA,y
100% SYA,3,L3,0.955,77,10,3,NA,NA,NA,y
100% SYA,3,L3,0.955,79,10,4,NA,NA,NA,y
100% SYA,3,L3,0.955,81,11,1,NA,NA,NA,y
100% SYA,3,L3,0.955,83,11,2,NA,NA,NA,y
20% SYA,4,L4,1.005,1,1,1,10,13,1.3,n
20% SYA,4,L4,1.005,2,1,NA,4,3,0.75,n
20% SYA,4,L4,1.005,3,1,2,7,8,1.142857143,n
20% SYA,4,L4,1.005,4,1,NA,13,16,1.230769231,n
20% SYA,4,L4,1.005,5,1,3,13,12,0.923076923,n
20% SYA,4,L4,1.005,6,1,NA,5,5,1,n
20% SYA,4,L4,1.005,7,1,4,35,33,0.942857143,n
20% SYA,4,L4,1.005,9,2,1,40,34,0.85,n
20% SYA,4,L4,1.005,11,2,2,35,29,0.828571429,n
20% SYA,4,L4,1.005,13,2,3,23,17,0.739130435,n
20% SYA,4,L4,1.005,15,2,4,41,38,0.926829268,n
20% SYA,4,L4,1.005,17,3,1,18,11,0.611111111,n
20% SYA,4,L4,1.005,19,3,2,17,19,1.117647059,n
20% SYA,4,L4,1.005,21,3,3,10,7,0.7,n
20% SYA,4,L4,1.005,23,3,4,17,14,0.823529412,n
20% SYA,4,L4,1.005,25,4,1,18,16,0.888888889,n
20% SYA,4,L4,1.005,27,4,2,12,5,0.416666667,n
20% SYA,4,L4,1.005,29,4,3,25,19,0.76,n
20% SYA,4,L4,1.005,31,4,4,20,16,0.8,n
20% SYA,4,L4,1.005,33,5,1,11,8,0.727272727,n
20% SYA,4,L4,1.005,35,5,2,10,10,1,n
20% SYA,4,L4,1.005,37,5,3,18,15,0.833333333,n
20% SYA,4,L4,1.005,39,5,4,24,19,0.791666667,n
20% SYA,4,L4,1.005,41,6,1,18,8,0.444444444,n
20% SYA,4,L4,1.005,43,6,2,8,3,0.375,n
20% SYA,4,L4,1.005,45,6,3,7,4,0.571428571,n
20% SYA,4,L4,1.005,47,6,4,17,12,0.705882353,n
20% SYA,4,L4,1.005,49,7,1,8,3,0.375,n
20% SYA,4,L4,1.005,51,7,2,10,1,0.1,n
20% SYA,4,L4,1.005,53,7,3,0,0,0,n
