treatment,treatment_no,day,number_alive,number_dead,number_censors
20% SYA,1,1,56,0,0
20% SYA,1,2,56,0,0
20% SYA,1,3,56,0,0
20% SYA,1,4,56,0,0
20% SYA,1,5,56,0,0
20% SYA,1,6,56,0,0
20% SYA,1,7,56,0,0
20% SYA,1,8,55,1,0
20% SYA,1,9,55,0,0
20% SYA,1,10,55,0,0
20% SYA,1,11,55,0,0
20% SYA,1,12,55,0,0
20% SYA,1,13,55,0,0
20% SYA,1,14,55,0,0
20% SYA,1,15,55,0,0
20% SYA,1,16,55,0,0
20% SYA,1,17,55,0,0
20% SYA,1,18,55,0,0
20% SYA,1,19,55,0,0
20% SYA,1,20,55,0,0
20% SYA,1,21,55,0,0
20% SYA,1,22,55,0,0
20% SYA,1,23,55,0,0
20% SYA,1,24,55,0,0
20% SYA,1,25,55,0,0
20% SYA,1,26,55,0,0
20% SYA,1,27,55,0,0
20% SYA,1,28,55,0,0
20% SYA,1,29,55,0,0
20% SYA,1,30,55,0,0
20% SYA,1,31,55,0,0
20% SYA,1,32,55,0,0
20% SYA,1,33,55,0,0
20% SYA,1,34,55,0,0
20% SYA,1,35,55,0,0
20% SYA,1,36,55,0,0
20% SYA,1,37,55,0,0
20% SYA,1,38,55,0,0
20% SYA,1,39,55,0,0
20% SYA,1,40,55,0,0
20% SYA,1,41,55,0,0
20% SYA,1,42,55,0,0
20% SYA,1,43,55,0,0
20% SYA,1,44,55,0,0
20% SYA,1,45,55,0,0
20% SYA,1,46,55,0,0
20% SYA,1,47,55,0,0
20% SYA,1,48,55,0,0
20% SYA,1,49,54,1,0
20% SYA,1,50,54,0,0
20% SYA,1,51,54,0,0
20% SYA,1,52,54,0,0
20% SYA,1,53,52,2,0
20% SYA,1,54,50,2,0
20% SYA,1,55,48,2,0
20% SYA,1,56,46,2,0
20% SYA,1,57,44,2,0
20% SYA,1,58,41,3,0
20% SYA,1,59,41,0,0
20% SYA,1,60,40,1,0
20% SYA,1,61,37,3,0
20% SYA,1,62,33,4,0
20% SYA,1,63,33,0,0
20% SYA,1,64,30,3,0
20% SYA,1,65,29,1,0
20% SYA,1,66,27,2,0
20% SYA,1,67,25,2,0
20% SYA,1,68,23,2,0
20% SYA,1,69,22,1,0
20% SYA,1,70,16,6,0
20% SYA,1,71,15,1,0
20% SYA,1,72,13,2,0
20% SYA,1,73,11,2,0
20% SYA,1,74,11,0,0
20% SYA,1,75,11,0,0
20% SYA,1,76,8,3,0
20% SYA,1,77,6,2,0
20% SYA,1,78,5,1,0
20% SYA,1,79,4,1,0
20% SYA,1,80,4,0,0
20% SYA,1,81,4,0,0
20% SYA,1,82,3,1,0
20% SYA,1,83,1,2,0
20% SYA,1,84,1,0,0
20% SYA,1,85,0,1,0
100% SYA,2,1,56,0,0
100% SYA,2,2,56,0,0
100% SYA,2,3,56,0,0
100% SYA,2,4,56,0,0
100% SYA,2,5,56,0,0
100% SYA,2,6,45,0,11
100% SYA,2,7,44,1,0
100% SYA,2,8,43,1,0
100% SYA,2,9,43,0,0
100% SYA,2,10,42,1,0
100% SYA,2,11,42,0,0
100% SYA,2,12,42,0,0
100% SYA,2,13,42,0,0
100% SYA,2,14,41,1,0
100% SYA,2,15,41,0,0
100% SYA,2,16,41,0,0
100% SYA,2,17,41,0,0
100% SYA,2,18,41,0,0
100% SYA,2,19,40,0,1
100% SYA,2,20,40,0,0
100% SYA,2,21,40,0,0
100% SYA,2,22,40,0,0
100% SYA,2,23,40,0,0
100% SYA,2,24,40,0,0
100% SYA,2,25,40,0,0
100% SYA,2,26,40,0,0
100% SYA,2,27,40,0,0
100% SYA,2,28,40,0,0
100% SYA,2,29,39,1,0
100% SYA,2,30,39,0,0
100% SYA,2,31,39,0,0
100% SYA,2,32,39,0,0
100% SYA,2,33,39,0,0
100% SYA,2,34,39,0,0
100% SYA,2,35,39,0,0
100% SYA,2,36,39,0,0
100% SYA,2,37,39,0,0
100% SYA,2,38,39,0,0
100% SYA,2,39,38,0,1
100% SYA,2,40,36,2,0
100% SYA,2,41,36,0,0
100% SYA,2,42,36,0,0
100% SYA,2,43,36,0,0
100% SYA,2,44,36,0,0
100% SYA,2,45,36,0,0
100% SYA,2,46,36,0,0
100% SYA,2,47,36,0,0
100% SYA,2,48,36,0,0
100% SYA,2,49,36,0,0
100% SYA,2,50,36,0,0
100% SYA,2,51,36,0,0
100% SYA,2,52,36,0,0
100% SYA,2,53,35,1,0
100% SYA,2,54,34,1,0
100% SYA,2,55,33,1,0
100% SYA,2,56,30,3,0
100% SYA,2,57,28,2,0
100% SYA,2,58,27,1,0
100% SYA,2,59,27,0,0
100% SYA,2,60,25,2,0
100% SYA,2,61,23,2,0
100% SYA,2,62,23,0,0
100% SYA,2,63,20,3,0
100% SYA,2,64,19,1,0
100% SYA,2,65,19,0,0
100% SYA,2,66,16,3,0
100% SYA,2,67,16,0,0
100% SYA,2,68,15,1,0
100% SYA,2,69,13,2,0
100% SYA,2,70,12,1,0
100% SYA,2,71,12,0,0
100% SYA,2,72,9,3,0
100% SYA,2,73,8,1,0
100% SYA,2,74,8,0,0
100% SYA,2,75,6,2,0
100% SYA,2,76,5,1,0
100% SYA,2,77,3,2,0
100% SYA,2,78,0,3,0
120% SYA,3,1,56,0,0
120% SYA,3,2,56,0,0
120% SYA,3,3,56,0,0
120% SYA,3,4,56,0,0
120% SYA,3,5,56,0,0
120% SYA,3,6,56,0,0
120% SYA,3,7,55,0,1
120% SYA,3,8,55,0,0
120% SYA,3,9,54,0,1
120% SYA,3,10,54,0,0
120% SYA,3,11,54,0,0
120% SYA,3,12,54,0,0
120% SYA,3,13,54,0,0
120% SYA,3,14,53,1,0
120% SYA,3,15,53,0,0
120% SYA,3,16,52,1,0
120% SYA,3,17,52,0,0
120% SYA,3,18,52,0,0
120% SYA,3,19,52,0,0
120% SYA,3,20,52,0,0
120% SYA,3,21,52,0,0
120% SYA,3,22,52,0,0
120% SYA,3,23,52,0,0
120% SYA,3,24,51,0,1
120% SYA,3,25,51,0,0
120% SYA,3,26,50,1,0
120% SYA,3,27,50,0,0
120% SYA,3,28,50,0,0
120% SYA,3,29,50,0,0
120% SYA,3,30,48,2,0
120% SYA,3,31,48,0,0
120% SYA,3,32,48,0,0
120% SYA,3,33,48,0,0
120% SYA,3,34,48,0,0
120% SYA,3,35,48,0,0
120% SYA,3,36,48,0,0
120% SYA,3,37,47,1,0
120% SYA,3,38,47,0,0
120% SYA,3,39,47,0,0
120% SYA,3,40,47,0,0
120% SYA,3,41,47,0,0
120% SYA,3,42,47,0,0
120% SYA,3,43,47,0,0
120% SYA,3,44,47,0,0
120% SYA,3,45,47,0,0
120% SYA,3,46,47,0,0
120% SYA,3,47,47,0,0
120% SYA,3,48,47,0,0
120% SYA,3,49,47,0,0
120% SYA,3,50,47,0,0
120% SYA,3,51,47,0,0
120% SYA,3,52,47,0,0
120% SYA,3,53,47,0,0
