TubeID,Treatment,Treatment_no,Oviposition.Plate,Researcher,Treatment_date,Treatment_time,Larvae,Pupae,Adults,Pup_time,Ecl_time,Pup_duration
T1.V1,20% SYA,1,3,David,08/05/2018,20,100,72,66,197.8888889,302.2575758,104.3686869
T1.V2,20% SYA,1,3,David,08/05/2018,20,100,74,63,200.3783784,303.4761905,103.0978121
T1.V3,20% SYA,1,3,David,08/05/2018,20,100,90,70,202.8,303.8857143,101.0857143
T1.V4,20% SYA,1,3,David,08/05/2018,20,100,66,52,204.6666667,310.2692308,105.6025641
T1.V5,20% SYA,1,3,David,08/05/2018,20,100,67,66,204.2089552,313.9242424,109.7152872
T1.V6,20% SYA,1,3,David,08/05/2018,20,100,80,67,200.9,305.1492537,104.2492537
T1.V7,20% SYA,1,4,David,08/05/2018,21,100,85,80,209.8941176,323.6,113.7058824
T1.V8,20% SYA,1,4,David,08/05/2018,21,100,62,52,198.8064516,306.5576923,107.7512407
T1.V9,20% SYA,1,4,David,08/05/2018,21,100,77,67,209.0519481,315.9850746,106.9331266
T1.V10,20% SYA,1,4,David,08/05/2018,21,100,69,63,206.7391304,313.2539683,106.5148378
T1.V11,20% SYA,1,4,David,08/05/2018,21,100,75,68,200.2,303.3970588,103.1970588
T1.V12,20% SYA,1,4,David,08/05/2018,21,100,79,66,205,312.1666667,107.1666667
T1.V13,20% SYA,1,1,Jenny,08/05/2018,20,100,88,82,202.8181818,307.5243902,104.7062084
T1.V14,20% SYA,1,1,Jenny,08/05/2018,20,100,87,84,212.8965517,321.8571429,108.9605911
T1.V15,20% SYA,1,1,Jenny,08/05/2018,20,100,97,79,208.9690722,314.3670886,105.3980164
T1.V16,20% SYA,1,1,Jenny,08/05/2018,20,100,100,82,214.4,319.304878,104.904878
T1.V17,20% SYA,1,1,Jenny,08/05/2018,20,100,87,83,204.7126437,310.3493976,105.6367539
T1.V18,20% SYA,1,1,Jenny,08/05/2018,20,100,100,83,210.96,321.9036145,110.9436145
T1.V19,20% SYA,1,2,Jenny,08/05/2018,21,100,102,70,221.627451,330.9571429,109.3296919
T1.V20,20% SYA,1,2,Jenny,08/05/2018,21,100,93,76,207.3225806,315.5263158,108.2037351
T1.V21,20% SYA,1,2,Jenny,08/05/2018,21,100,90,81,200.5555556,305.1481481,104.5925926
T1.V22,20% SYA,1,2,Jenny,08/05/2018,21,100,86,73,195.1395349,302.260274,107.1207391
T1.V23,20% SYA,1,2,Jenny,08/05/2018,21,100,89,72,194.9325843,301.6388889,106.7063046
T1.V24,20% SYA,1,2,Jenny,08/05/2018,21,100,98,78,200.4285714,301.8846154,101.456044
T2.V1,100% SYA,2,1,Emily,14/05/2018,12,100,79,80,107.3670886,208.1625,100.7954114
T2.V2,100% SYA,2,1,Emily,14/05/2018,12,100,80,81,110.7,214.5802469,103.8802469
T2.V3,100% SYA,2,1,Emily,14/05/2018,12,100,45,47,108.2222222,211.212766,102.9905437
T2.V4,100% SYA,2,1,Emily,14/05/2018,12,100,74,74,112.5945946,218.0540541,105.4594595
T2.V5,100% SYA,2,1,Emily,14/05/2018,12,100,81,71,109.4074074,213.3802817,103.9728743
T2.V6,100% SYA,2,1,Emily,14/05/2018,12,100,78,76,110.5128205,211.5921053,101.0792848
T2.V7,100% SYA,2,2,Emily,14/05/2018,12,100,74,74,112.7027027,218.4594595,105.7567568
T2.V8,100% SYA,2,2,Emily,14/05/2018,12,100,83,79,113.4698795,219.721519,106.2516395
T2.V9,100% SYA,2,2,Emily,14/05/2018,12,100,83,79,110,212.164557,102.164557
T2.V10,100% SYA,2,2,Emily,14/05/2018,12,100,86,86,114.1860465,220,105.8139535
T2.V11,100% SYA,2,2,Emily,14/05/2018,12,100,76,75,114.7368421,222.8933333,108.1564912
T2.V12,100% SYA,2,2,Emily,14/05/2018,12,100,87,85,115.9770115,223.1529412,107.1759297
T2.V13,100% SYA,2,3,Tracey,14/05/2018,12,100,81,74,109.9012346,213.5405405,103.639306
T2.V14,100% SYA,2,3,Tracey,14/05/2018,12,100,83,75,107.5903614,211.44,103.8496386
T2.V15,100% SYA,2,3,Tracey,14/05/2018,12,100,70,64,105.5428571,207.09375,101.5508929
T2.V16,100% SYA,2,3,Tracey,14/05/2018,12,100,81,73,106.9382716,210.3013699,103.3630983
T2.V17,100% SYA,2,3,Tracey,14/05/2018,12,100,84,80,108.0952381,207.9,99.8047619
T2.V18,100% SYA,2,3,Tracey,14/05/2018,13,100,85,84,112.2941176,211.5714286,99.27731092
T2.V19,100% SYA,2,4,Tracey,14/05/2018,13,100,65,62,110.6,211.8709677,101.2709677
T2.V20,100% SYA,2,4,Tracey,14/05/2018,13,100,87,82,107.8045977,208.5731707,100.768573
T2.V21,100% SYA,2,4,Tracey,14/05/2018,13,100,76,73,107.6315789,210.369863,102.7382841
T2.V22,100% SYA,2,4,Tracey,14/05/2018,13,100,85,81,107.9647059,207.962963,99.99825708
T2.V23,100% SYA,2,4,Tracey,14/05/2018,13,100,82,77,105.5853659,205.3376623,99.75229648
