"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
TM4SF,3393.351968,7.91E-44,8.57E-40,-1.58961504,1.06E-17,-1.902932302,5.45E-26,-1.867747872,2.69E-25
snoRNA:Psi18S-1377a,516.1421058,1.60E-32,8.66E-29,2.082480187,1.87E-13,2.434016293,3.57E-19,3.247683671,4.66E-35
snoRNA:Psi18S-1377b,306.7062969,1.33E-27,4.81E-24,1.345529312,7.74E-07,1.662018486,7.62E-11,2.572016397,3.17E-27
Sod,4929.490181,2.94E-27,7.96E-24,-0.006426098,0.976419212,-0.111815127,0.369511777,-0.814336959,1.27E-20
snoRNA:Psi18S-1377c,146.9270335,7.32E-25,1.59E-21,1.896058462,1.19E-06,2.352801983,1.05E-10,3.49958278,4.91E-25
PyK,14224.22593,2.84E-24,5.13E-21,-0.474346879,8.78E-07,-0.352928473,0.000331521,-0.845909918,1.24E-22
CG7630,2786.720538,9.60E-24,1.49E-20,-0.25086578,0.224930525,-0.689663024,7.53E-06,-1.312128619,1.10E-20
AP-2mu,1743.319229,2.71E-23,3.66E-20,-0.873085354,1.99E-14,-0.734165671,1.47E-10,-0.825799621,1.40E-13
Pglym78,5337.266753,4.74E-23,5.71E-20,-0.278778422,0.039972456,-0.365404103,0.002038965,-0.981428464,1.02E-21
CG12256,603.7313188,1.06E-22,1.15E-19,4.599538273,1.88E-25,4.529665205,5.72E-25,3.810386995,9.71E-18
l(2)06225,2360.084931,5.26E-22,5.18E-19,-0.066170006,0.799704332,-0.530547313,0.000217343,-1.092909314,2.42E-17
CG5080,5811.677163,1.73E-21,1.56E-18,1.368620042,1.41E-12,1.681882979,1.23E-19,1.387365106,1.23E-13
levy,3336.416425,3.51E-20,2.93E-17,-0.457131217,0.004775023,-0.400980718,0.010245827,-1.195687898,1.71E-19
alphaTub84D,1999.631573,3.79E-20,2.93E-17,-0.937348799,7.51E-14,-0.704293972,4.36E-08,-0.811774011,5.36E-11
CG11752,522.8826851,7.40E-20,5.34E-17,-0.482092737,0.002685763,-0.63262363,1.38E-05,-1.203217985,2.29E-18
dm,3805.873752,9.28E-20,6.28E-17,1.169608636,8.39E-09,0.861193513,3.99E-05,1.669834816,5.27E-19
Gapdh1,8421.756464,2.58E-19,1.64E-16,-0.330905576,0.03165037,-0.043456757,0.843708932,-0.949163045,1.39E-15
Rop,4541.935149,1.28E-18,7.70E-16,-0.765667463,2.92E-10,-0.862744062,2.39E-13,-0.554504823,5.52E-06
Uhg5,353.1231794,8.69E-18,4.95E-15,0.922982087,9.08E-07,0.328495677,0.140204326,1.289923829,4.42E-14
porin,11000.73573,1.58E-17,8.55E-15,-0.544556971,0.000403729,-0.598847499,3.90E-05,-1.081445449,1.80E-16
CG6034,30.72035521,1.68E-17,8.68E-15,-1.396782563,0.074359267,-3.138310651,4.82E-06,-7.440742872,4.40E-07
RpS17,11087.66916,2.18E-17,1.07E-14,0.158608742,0.469120132,0.19402893,0.279478345,-0.79481742,4.41E-09
Pgk,3733.90088,3.59E-17,1.69E-14,-0.293682516,0.019021344,-0.240441053,0.04426277,-0.805275706,4.07E-16
CG10440,409.398806,4.52E-17,2.04E-14,-1.130068192,4.17E-10,-1.156656014,5.85E-11,-0.745755147,5.15E-05
snoRNA:Psi18S-1377e,244.5403513,8.37E-17,3.63E-14,1.886117711,2.55E-09,1.769687196,1.82E-08,2.461458144,4.88E-17
fwe,4029.966959,1.57E-16,6.53E-14,-0.620277474,3.28E-06,-0.933358909,3.95E-14,-0.509592803,0.000112845
CG7712,993.3942062,1.96E-16,7.88E-14,-0.44365553,0.041093557,-0.49356775,0.011240582,-1.361773149,5.41E-16
RFeSP,4233.134658,2.19E-16,8.49E-14,-0.505924663,0.007197989,-0.523598625,0.002897769,-1.237918323,5.41E-16
Hsp68,460.5426943,3.36E-16,1.25E-13,1.964063681,8.39E-09,1.936424679,8.51E-09,2.643524057,4.88E-17
CG11360,2688.106927,1.50E-15,4.93E-13,0.263408417,0.381747883,0.11619761,0.716051826,1.246609608,1.01E-10
Gad1,7152.389016,1.50E-15,4.93E-13,-1.326698989,8.95E-08,-1.603671579,1.42E-11,-0.764294302,0.003506571
Gycalpha99B,2254.236726,1.37E-15,4.93E-13,-1.256720593,8.39E-09,-1.283574389,1.88E-09,-1.070095087,5.73E-07
Ilp3,826.0894737,1.45E-15,4.93E-13,-1.400264415,3.86E-06,-1.083670717,0.00041172,-2.033311054,2.56E-13
GlyP,7182.240394,2.31E-15,7.35E-13,-0.413558016,0.010331914,-0.404778914,0.007554015,-1.011065241,7.64E-15
Drs,1294.723675,3.11E-15,9.62E-13,-0.327530164,0.791869048,0.469661149,0.633503388,3.518499789,2.98E-08
RpL39,4718.192702,5.27E-15,1.59E-12,0.354180981,0.233813973,0.430384745,0.087790003,-1.033597838,1.35E-06
CG15772,583.1967274,7.38E-15,2.16E-12,-0.207808997,0.500153104,-0.927025655,2.95E-06,-1.218285038,1.30E-10
ATPsyn-b,3428.317268,7.80E-15,2.23E-12,-0.398928745,0.012127158,-0.408430497,0.005717308,-0.976790105,2.70E-14
gammaSnap1,1229.605656,1.20E-14,3.34E-12,-0.773969359,6.33E-08,-0.794081061,1.15E-08,-0.751385248,4.75E-08
CG4169,4907.970484,1.55E-14,4.09E-12,-0.616763015,0.000226023,-0.248096078,0.190447774,-1.029460747,1.85E-12
Obp44a,20830.95162,1.58E-14,4.09E-12,-0.600560709,0.137065328,-1.130288342,0.000476239,-2.171495316,5.44E-14
PPO2,820.8649244,1.51E-14,4.09E-12,-0.90964428,0.117135069,-1.763782604,0.00015791,-3.245175797,2.26E-14
CG4692,3873.419681,1.75E-14,4.40E-12,-0.26552284,0.357515469,-0.514089358,0.018763263,-1.367819933,1.87E-13
ND23,2103.578738,2.44E-14,6.01E-12,-0.339433049,0.069864364,-0.533463534,0.000695145,-1.035806941,2.28E-13
sesB,30028.98339,4.08E-14,9.82E-12,-0.480002744,0.006655031,-0.680579613,1.56E-05,-1.031192691,1.23E-12
CG13185,916.7300586,4.65E-14,1.09E-11,0.224877993,0.2260296,0.648105067,1.65E-06,0.82886252,9.55E-11
CG17912,2964.717898,4.72E-14,1.09E-11,0.233363256,0.136007644,0.078882244,0.665326391,0.729188735,1.23E-10
SIFa,493.5480642,4.89E-14,1.10E-11,-1.301184079,0.000195219,-1.328534457,6.92E-05,-2.148569929,3.92E-12
CG12203,1258.313712,1.08E-13,2.38E-11,-0.544825239,0.002682248,-0.453151705,0.010217214,-1.111842829,4.32E-13
CoVa,4623.970083,1.25E-13,2.72E-11,-0.402185024,0.065781456,-0.515492839,0.006635426,-1.195940416,3.73E-13
alphaSnap,7043.835418,1.38E-13,2.93E-11,-0.432157978,0.000444232,-0.67199432,1.33E-09,-0.616046632,1.66E-08
CG31345,382.0682233,1.69E-13,3.53E-11,-1.056006924,0.002704203,-1.866752087,1.73E-09,-1.63061073,1.16E-07
CR41544,2894.507994,1.95E-13,3.85E-11,1.102241989,5.63E-05,0.266149217,0.448222502,-0.575398324,0.053077635
Pdsw,1550.589159,1.95E-13,3.85E-11,-0.415388408,0.022072048,-0.348681434,0.042946739,-1.041171806,6.98E-13
RpL31,13627.05948,1.90E-13,3.85E-11,0.513139328,0.000921163,0.397593246,0.009530185,-0.343296176,0.030538043
Vha68-1,4967.924361,3.44E-13,6.65E-11,-0.99745103,2.52E-06,-1.186147285,4.12E-09,-0.949777467,2.98E-06
snoRNA:Psi28S-3436a,318.0190598,3.79E-13,7.21E-11,0.207909936,0.751376058,1.077139482,0.005159011,2.061364654,1.11E-09
CG10814,3597.512933,4.09E-13,7.51E-11,5.670802617,2.04E-12,6.911951192,3.75E-19,6.824273751,6.06E-19
CG32479,2777.386272,4.07E-13,7.51E-11,0.53708854,0.003640332,0.580399869,0.000753506,1.087392377,1.43E-12
CG6357,5513.607319,4.18E-13,7.55E-11,0.701678875,1.03E-09,0.40699678,0.000915183,0.653882227,4.42E-09
CG32000,7198.45371,5.08E-13,8.92E-11,-0.324473453,0.052342276,-0.445052052,0.002066234,0.360574405,0.016116728
CG3376,2394.612423,5.10E-13,8.92E-11,1.201280338,2.55E-08,1.377012894,3.75E-11,0.933271971,1.43E-05
Nipped-B,5181.257567,5.50E-13,9.46E-11,0.286861675,0.117135069,0.128752547,0.515246413,0.841057608,3.87E-10
Mlf,3833.370069,6.53E-13,1.10E-10,-0.497541042,0.007197989,-0.863112927,8.31E-08,-0.923904773,2.62E-09
RpL22,8646.619526,7.84E-13,1.31E-10,-0.10288166,0.741472152,0.181185067,0.439127102,-0.919022473,3.87E-08
snoRNA:Me18S-C1831,19.89825247,1.12E-12,1.83E-10,3.925991205,1.95E-06,0.214932538,0.897217775,0.170277652,0.925305305
comt,4776.899281,1.23E-12,1.99E-10,-0.976399882,3.28E-06,-1.199169342,1.88E-09,-0.787680858,0.000158466
SdhB,2408.706768,1.27E-12,2.02E-10,-0.509348594,0.00684633,-0.447325966,0.013225065,-1.082679963,3.83E-12
snoRNA:Psi18S-531,176.2172809,1.47E-12,2.31E-10,0.673597346,0.107202895,0.166855261,0.747339559,-1.650643074,2.13E-06
Cdk5alpha,2238.358031,1.54E-12,2.38E-10,-0.613281693,0.000507909,-0.867649118,7.55E-08,-0.889820611,1.30E-08
Hsp67Bc,153.2520687,1.66E-12,2.53E-10,-1.358305625,4.26E-05,-1.300257179,4.68E-05,-1.827762785,2.99E-09
CG9065,658.6013591,1.72E-12,2.55E-10,-0.252625589,0.278919548,-0.492640434,0.006237581,-1.082055452,2.12E-11
CaMKII,10484.38185,1.70E-12,2.55E-10,-0.535665236,0.007197989,-0.865978504,6.69E-07,0.131649001,0.612488932
CG9306,1567.435695,1.96E-12,2.88E-10,-0.306335772,0.0951422,-0.431069871,0.005659523,-0.937095387,9.85E-12
CG6329,6230.5714,2.15E-12,3.07E-10,-0.847622611,0.000436642,-1.408717107,5.85E-11,-0.60524145,0.013233113
RpS26,23862.77684,2.12E-12,3.07E-10,0.590301435,0.004748022,0.488500133,0.016263174,-0.491883515,0.01609417
CG3446,2106.0777,2.34E-12,3.29E-10,0.026223567,0.936359434,-0.280768174,0.121907565,-0.883473668,2.58E-09
CG10433,25205.13253,3.24E-12,4.50E-10,0.810056817,5.48E-07,0.461175039,0.007392545,-0.054400476,0.842221733
NP15.6,884.7437678,3.99E-12,5.48E-10,-0.328195517,0.195801728,-0.231422748,0.349932681,-1.202634129,4.13E-11
CR44053,36.03264192,4.18E-12,5.66E-10,1.734352292,0.054091256,2.832498789,8.77E-05,4.217701744,1.10E-10
snoRNA:Psi28S-3436b,108.1837743,4.31E-12,5.77E-10,1.935241778,6.57E-05,1.131051983,0.028136901,2.828218447,3.57E-11
CoIV,4456.515891,4.52E-12,5.97E-10,-0.491991287,0.005493486,-0.440639232,0.009478507,-0.995759853,1.49E-11
Fie,2594.696765,5.05E-12,6.59E-10,-0.497993535,0.004811373,-0.775137836,6.72E-07,-0.884378207,3.71E-09
Hsromega,12434.08694,5.62E-12,7.25E-10,0.113346286,0.793951604,0.138483847,0.6984922,1.204355833,6.49E-08
l(3)neo18,2146.976222,5.74E-12,7.31E-10,-0.019635399,0.948012664,-0.19462898,0.264287685,-0.800377125,1.90E-09
Klp68D,1341.315591,6.13E-12,7.72E-10,-0.667304625,1.81E-07,-0.601035819,1.94E-06,-0.593839381,1.78E-06
Eno,19002.59994,6.51E-12,8.11E-10,-0.427866396,0.001578223,-0.180050057,0.238159229,-0.73194804,2.72E-10
RpL40,12141.41657,7.00E-12,8.62E-10,0.644862497,0.000697719,0.377918054,0.056279043,-0.392412221,0.048959899
CG9350,1279.485469,7.63E-12,9.28E-10,-0.387268803,0.056322073,-0.502192035,0.004432433,-1.044779601,2.77E-11
ttm50,523.4684829,8.06E-12,9.71E-10,-0.237111683,0.248616042,-0.176658022,0.364881193,-0.94035982,1.35E-10
ATPsyn-gamma,4377.358177,8.65E-12,1.00E-09,-0.535790344,0.011784516,-0.392193508,0.06065335,-1.155572895,2.72E-11
CG11876,2916.92603,8.81E-12,1.00E-09,-0.507526883,0.007186883,-0.472714624,0.008351699,-1.043047182,2.72E-11
CG17680,478.3261991,8.72E-12,1.00E-09,-0.204391207,0.478220057,-0.510159828,0.01179178,-1.154907499,1.85E-10
MFS17,1679.467918,8.77E-12,1.00E-09,0.29165507,0.198030918,0.299356914,0.136530465,0.987693043,6.55E-10
RpS25,13416.65806,8.74E-12,1.00E-09,0.759980438,8.99E-08,0.355718883,0.023105211,0.030454717,0.908322784
Sirup,5271.13097,9.74E-12,1.10E-09,1.338159422,3.90E-07,0.432849552,0.168119195,-0.010983031,0.982429851
CG11655,540.6678064,9.95E-12,1.11E-09,0.827035734,3.74E-07,0.895409074,9.46E-09,0.42852619,0.017259522
CG10137,723.4534997,1.05E-11,1.14E-09,-0.914734528,1.49E-09,-0.415122779,0.01148003,-0.158442443,0.447169891
