List of genes that are upregulated in the fat body from 50-day-old wild-type flies ,,,,,,,,,
Chromtin name,Start site,End site,Strand,Symbol,logFC,PValue,FDR,Upregulation,Downregulation
chr2L,115364,116488,-,CG13694,2.07868992,1.54E-07,1.78E-06,TRUE,FALSE
chr2L,287251,288919,-,CG11592,1.064196192,7.84E-05,0.000571113,TRUE,FALSE
chr2L,322100,323091,+,CG33127,1.390179373,6.87E-05,0.000508504,TRUE,FALSE
chr2L,547413,552454,-,Ets21C,2.095540225,2.22E-13,5.20E-12,TRUE,FALSE
chr2L,553741,560310,-,rempA,1.013956273,0.00053667,0.003219617,TRUE,FALSE
chr2L,575710,576896,-,Ptth,1.102098536,0.000661502,0.003869455,TRUE,FALSE
chr2L,773574,774020,+,CG12506,3.63180694,2.59E-08,3.36E-07,TRUE,FALSE
chr2L,776535,776892,+,CG13946,7.856066737,2.85E-12,6.06E-11,TRUE,FALSE
chr2L,779200,779655,+,CG13947,2.818611933,1.52E-19,5.67E-18,TRUE,FALSE
chr2L,786152,790795,-,Pkg21D,1.261811757,1.25E-05,0.000107572,TRUE,FALSE
chr2L,810585,811531,+,Nnf1b,1.701213894,6.14E-07,6.54E-06,TRUE,FALSE
chr2L,878174,885052,-,CG15824,2.414282863,0.009641998,0.039651304,TRUE,FALSE
chr2L,922794,958100,+,CG4341,2.303049914,1.02E-12,2.28E-11,TRUE,FALSE
chr2L,1108538,1112702,+,CG14339,4.805375725,2.39E-20,9.51E-19,TRUE,FALSE
chr2L,1112987,1114140,+,CG14340,1.587487915,0.001663221,0.008778918,TRUE,FALSE
chr2L,1170233,1170847,+,CG31922,1.224803703,4.04E-05,0.00031339,TRUE,FALSE
chr2L,1170751,1172745,-,CG5118,2.245899289,3.51E-14,8.83E-13,TRUE,FALSE
chr2L,1200236,1201220,+,CG5011,4.310310533,8.10E-31,6.30E-29,TRUE,FALSE
chr2L,1494089,1495456,+,CG33128,5.833529982,0.001005722,0.005586111,TRUE,FALSE
chr2L,1520612,1522151,+,Or22a,5.558833162,0.002442981,0.012151902,TRUE,FALSE
chr2L,1824272,1826378,-,CG31664,1.775861462,2.36E-10,3.94E-09,TRUE,FALSE
chr2L,1831626,1832557,-,c-cup,3.009387229,0.001025881,0.005687603,TRUE,FALSE
chr2L,1989449,1990600,+,CR42874,1.67966809,3.00E-07,3.33E-06,TRUE,FALSE
chr2L,2008459,2008966,+,Nplp4,1.304340923,4.74E-05,0.000362503,TRUE,FALSE
chr2L,2032634,2035936,-,CG42296,8.999489398,1.16E-20,4.67E-19,TRUE,FALSE
chr2L,2037801,2044373,+,Su(dx),1.249449593,4.88E-06,4.50E-05,TRUE,FALSE
chr2L,2054588,2057967,+,Or22c,3.703927474,1.58E-07,1.83E-06,TRUE,FALSE
chr2L,2212737,2214179,-,Uch,1.051757188,8.55E-05,0.00061898,TRUE,FALSE
chr2L,2239413,2240593,-,CG31682,2.531454626,2.83E-05,0.000228528,TRUE,FALSE
chr2L,2244636,2245352,+,CG31686,1.487977509,2.94E-07,3.27E-06,TRUE,FALSE
chr2L,2250430,2251275,-,Ser12,7.586698757,1.68E-52,3.72E-50,TRUE,FALSE
chr2L,2253078,2253834,+,CG17234,2.091277365,2.81E-09,4.06E-08,TRUE,FALSE
